Time,Elevation,SVL,Tb,Depth
20,2600m,5.4,20.9,25
20,2600m,4.9,21.5,44
20,2600m,5,20.4,48
21,2600m,5.9,19.6,64
21,2600m,4.9,19.7,50
22,2600m,5.9,20.1,58
22,2600m,6.2,18.3,52
22,2600m,5,19.3,43
22,2600m,5.5,19.8,48
23,2600m,5.7,19.8,43
23,2600m,5.7,19.5,50
23,2600m,4.5,18.6,41
23,2600m,4.9,18.5,53
0,2600m,4.5,18.6,26
0,2600m,6,20.6,43
0,2600m,6.1,18.8,41
1,2600m,5.8,19.6,50
1,2600m,5.9,18.7,65
2,2600m,6.2,18.7,50
2,2600m,4.7,18.1,57
2,2600m,4.5,20.3,47
2,2600m,6.5,19.1,35
3,2600m,4.3,18.2,55
3,2600m,4.6,18.2,43
3,2600m,4.3,19.6,48
3,2600m,5.9,19,50
4,2600m,5,16.4,53
4,2600m,5.2,20.6,55
5,2600m,4.6,19.5,35
5,2600m,4.4,17.4,48
5,2600m,5,18,50
5,2600m,5.8,17.7,47
6,2600m,4.3,16.8,39
6,2600m,4.7,17.1,50
6,2600m,6,18.2,55
20,3400m,4.9,19.7,39
20,3400m,4.7,19.3,34
20,3400m,4.1,18.7,44
21,3400m,5.6,18.9,76
21,3400m,5.6,20.9,34
21,3400m,5.6,18.7,42
21,3400m,6,16.8,58
22,3400m,5.9,18.4,38
22,3400m,5.1,19.1,44
22,3400m,6,16.9,59
22,3400m,6.1,19.6,50
23,3400m,4.1,19.8,27
23,3400m,3.7,18.8,43
23,3400m,5.4,16.6,68
23,3400m,5.3,17,45
0,3400m,3.9,17,34
0,3400m,5.3,17.9,27
0,3400m,4.9,15,49
0,3400m,5,16.8,39
1,3400m,4.1,15.7,58
1,3400m,4.5,17.2,36
1,3400m,5.3,18.3,45
1,3400m,3.7,16.7,47
2,3400m,4.6,14.6,50
2,3400m,5,15.8,60
2,3400m,6.2,15.3,64
2,3400m,5.4,17.1,46
3,3400m,5.2,18,34
3,3400m,5.4,16.2,57
3,3400m,5.7,16.5,17
3,3400m,5.9,14.9,57
4,3400m,4.8,15.7,54
4,3400m,4.2,15.8,56
4,3400m,4.1,15.8,35
4,3400m,4.2,16.2,37
5,3400m,4.1,15.5,28
