Ele,Sex,SVL,BM,Temperature,Tb,Starttime,Endtime,passagetime
4200m,M,5.7,7.37,35,34.6,2021/7/13 20:02,2021/7/14 22:20,26.3
4200m,G,5.7,9.44,35,34.3,2021/7/13 20:12,2021/7/16 20:00,71.8
4200m,M,6,9.18,35,34.6,2021/7/13 20:21,2021/7/16 20:00,71.65
4200m,M,5.4,5.17,35,33.6,2021/7/13 20:53,2021/7/16 9:00,60.11666667
4200m,M,5,3.85,35,33.4,2021/7/13 21:14,2021/7/15 18:00,44.76666667
4200m,F,4.4,3.09,35,34.3,2021/7/13 21:20,2021/7/15 0:00,26.66666667
4200m,M,5.9,7.24,30,29.4,2021/7/13 20:10,2021/7/16 9:00,60.83333333
4200m,M,6.2,8.43,30,30.4,2021/7/13 20:28,2021/7/16 17:00,68.53333333
4200m,F,4.1,2.52,30,29.9,2021/7/13 20:41,2021/7/15 9:00,36.31666667
4200m,M,5.7,4.35,30,29.6,2021/7/13 21:00,2021/7/15 10:00,37
4200m,F,5,5.79,30,29.6,2021/7/13 21:12,2021/7/15 9:00,35.8
4200m,F,4.8,3.88,30,31.3,2021/7/13 21:19,2021/7/15 23:00,49.68333333
4200m,F,4.1,2.7,25,25.2,2021/7/13 20:38,2021/7/17 10:00,85.36666667
4200m,G,6.2,10.76,25,25.1,2021/7/13 20:48,2021/7/16 23:00,74.2
4200m,M,5.7,6.25,25,25.6,2021/7/13 20:57,2021/7/16 11:00,62.05
4200m,F,5.2,5,25,26.2,2021/7/13 21:11,2021/7/17 9:00,83.81666667
4200m,F,4.8,4.3,25,25,2021/7/13 21:17,2021/7/17 18:00,92.71666667
4200m,F,3.9,2.1,25,26.5,2021/7/13 21:24,2021/7/17 9:00,83.6
4200m,M,6.2,8.82,20,19.5,2021/7/13 20:03,2021/7/20 9:00,156.95
4200m,G,5.5,9.17,20,20.2,2021/7/13 20:14,2021/7/18 23:00,122.7666667
4200m,M,5.4,6.15,20,20.3,2021/7/13 20:22,2021/7/20 9:00,156.6333333
4200m,F,5.1,4.63,20,19.9,2021/7/13 20:34,2021/7/20 9:00,156.4333333
4200m,M,5.7,7.99,20,21.2,2021/7/13 20:55,2021/7/17 19:00,94.08333333
4200m,G,5.5,7.29,20,19,2021/7/13 21:09,2021/7/17 13:00,87.85
