DOY,Tb,YEAR,POP,TIME
180,13.72759316,2020,2600m,12
180,13.73741172,2020,2600m,13
180,13.7511189,2020,2600m,14
180,13.76803181,2020,2600m,15
180,13.78736531,2020,2600m,16
180,13.80832071,2020,2600m,17
180,13.83014545,2020,2600m,18
180,13.85216977,2020,2600m,19
180,13.87382336,2020,2600m,20
180,13.89464234,2020,2600m,21
180,13.9142677,2020,2600m,22
180,13.93243348,2020,2600m,23
181,14.06802213,2020,2600m,12
181,14.08340242,2020,2600m,13
181,14.10027318,2020,2600m,14
181,14.11822933,2020,2600m,15
181,14.13682193,2020,2600m,16
181,14.15560499,2020,2600m,17
181,14.17416748,2020,2600m,18
181,14.19214798,2020,2600m,19
181,14.20923791,2020,2600m,20
181,14.22518169,2020,2600m,21
181,14.23977562,2020,2600m,22
181,14.25286353,2020,2600m,23
182,14.28609374,2020,2600m,12
182,14.28223513,2020,2600m,13
182,14.27808524,2020,2600m,14
182,14.27363755,2020,2600m,15
182,14.26886188,2020,2600m,16
182,14.26369335,2020,2600m,17
182,14.25804908,2020,2600m,18
182,14.25184109,2020,2600m,19
182,14.24498679,2020,2600m,20
182,14.23741616,2020,2600m,21
182,14.22907601,2020,2600m,22
182,14.2199298,2020,2600m,23
183,14.09293267,2020,2600m,12
183,14.09602996,2020,2600m,13
183,14.10210622,2020,2600m,14
183,14.11078703,2020,2600m,15
183,14.12157574,2020,2600m,16
183,14.13390936,2020,2600m,17
183,14.14721126,2020,2600m,18
183,14.16093207,2020,2600m,19
183,14.17457292,2020,2600m,20
183,14.18769878,2020,2600m,21
183,14.19993261,2020,2600m,22
183,14.21096049,2020,2600m,23
184,14.24366964,2020,2600m,12
184,14.24653741,2020,2600m,13
184,14.25022142,2020,2600m,14
184,14.25453251,2020,2600m,15
184,14.25923769,2020,2600m,16
184,14.26409181,2020,2600m,17
184,14.2688621,2020,2600m,18
184,14.2733423,2020,2600m,19
184,14.27735683,2020,2600m,20
184,14.2807599,2020,2600m,21
184,14.28343295,2020,2600m,22
184,14.28528143,2020,2600m,23
185,14.24491593,2020,2600m,12
185,14.24451123,2020,2600m,13
185,14.24605695,2020,2600m,14
185,14.24946472,2020,2600m,15
185,14.25447953,2020,2600m,16
185,14.26074014,2020,2600m,17
185,14.26783358,2020,2600m,18
185,14.27534522,2020,2600m,19
185,14.28288887,2020,2600m,20
185,14.29012642,2020,2600m,21
185,14.29676991,2020,2600m,22
185,14.30258775,2020,2600m,23
186,14.33277501,2020,2600m,12
186,14.34383323,2020,2600m,13
186,14.35704107,2020,2600m,14
186,14.37203396,2020,2600m,15
186,14.38838377,2020,2600m,16
186,14.40564182,2020,2600m,17
186,14.42337299,2020,2600m,18
186,14.44117769,2020,2600m,19
186,14.45869939,2020,2600m,20
186,14.47562479,2020,2600m,21
186,14.49168207,2020,2600m,22
186,14.50664213,2020,2600m,23
187,14.59803308,2020,2600m,12
187,14.60311013,2020,2600m,13
187,14.60852915,2020,2600m,14
187,14.6141367,2020,2600m,15
187,14.61971725,2020,2600m,16
187,14.6250222,2020,2600m,17
187,14.62979462,2020,2600m,18
187,14.63378849,2020,2600m,19
187,14.63677998,2020,2600m,20
187,14.63857384,2020,2600m,21
187,14.63900759,2020,2600m,22
187,14.63795228,2020,2600m,23
188,14.52235186,2020,2600m,12
188,14.51399141,2020,2600m,13
188,14.50638786,2020,2600m,14
188,14.49940409,2020,2600m,15
188,14.49287382,2020,2600m,16
188,14.48662671,2020,2600m,17
188,14.48050673,2020,2600m,18
188,14.47438009,2020,2600m,19
188,14.46813565,2020,2600m,20
188,14.46168225,2020,2600m,21
188,14.45494387,2020,2600m,22
188,14.44785314,2020,2600m,23
189,14.36475046,2020,2600m,12
189,14.36869281,2020,2600m,13
189,14.37464416,2020,2600m,14
189,14.38225443,2020,2600m,15
189,14.39112063,2020,2600m,16
189,14.40082794,2020,2600m,17
189,14.41098375,2020,2600m,18
189,14.42124128,2020,2600m,19
189,14.43130803,2020,2600m,20
189,14.44093852,2020,2600m,21
189,14.44994012,2020,2600m,22
189,14.45815552,2020,2600m,23
190,14.53142775,2020,2600m,12
190,14.545211,2020,2600m,13
190,14.56078274,2020,2600m,14
190,14.57774268,2020,2600m,15
190,14.59564016,2020,2600m,16
190,14.6140246,2020,2600m,17
190,14.63247557,2020,2600m,18
190,14.65061824,2020,2600m,19
190,14.66812877,2020,2600m,20
190,14.68473581,2020,2600m,21
190,14.70022019,2020,2600m,22
190,14.71441136,2020,2600m,23
191,14.799512,2020,2600m,12
191,14.80668483,2020,2600m,13
191,14.81487375,2020,2600m,14
191,14.82387369,2020,2600m,15
191,14.83339754,2020,2600m,16
191,14.8431274,2020,2600m,17
191,14.85275303,2020,2600m,18
191,14.86199486,2020,2600m,19
191,14.87061212,2020,2600m,20
191,14.87840418,2020,2600m,21
191,14.88520961,2020,2600m,22
191,14.89090192,2020,2600m,23
192,14.87494901,2020,2600m,12
192,14.87188102,2020,2600m,13
192,14.86892525,2020,2600m,14
192,14.86595569,2020,2600m,15
192,14.86283168,2020,2600m,16
192,14.85941571,2020,2600m,17
192,14.85557995,2020,2600m,18
192,14.85121039,2020,2600m,19
192,14.84620803,2020,2600m,20
192,14.84048753,2020,2600m,21
192,14.83397388,2020,2600m,22
192,14.82659789,2020,2600m,23
193,14.65664998,2020,2600m,12
193,14.64308107,2020,2600m,13
193,14.63022859,2020,2600m,14
193,14.61799497,2020,2600m,15
193,14.6062203,2020,2600m,16
193,14.59470521,2020,2600m,17
193,14.5832325,2020,2600m,18
193,14.57158208,2020,2600m,19
193,14.55954357,2020,2600m,20
193,14.54692929,2020,2600m,21
193,14.53358337,2020,2600m,22
193,14.51939318,2020,2600m,23
194,14.33935317,2020,2600m,12
194,14.34333691,2020,2600m,13
194,14.35100288,2020,2600m,14
194,14.36177035,2020,2600m,15
194,14.37497553,2020,2600m,16
194,14.38993908,2020,2600m,17
194,14.40601631,2020,2600m,18
194,14.42262922,2020,2600m,19
194,14.43928038,2020,2600m,20
194,14.45555441,2020,2600m,21
194,14.47111114,2020,2600m,22
194,14.48567418,2020,2600m,23
195,14.56996177,2020,2600m,12
195,14.57294656,2020,2600m,13
195,14.57574343,2020,2600m,14
195,14.57824263,2020,2600m,15
195,14.58032633,2020,2600m,16
195,14.58188185,2020,2600m,17
195,14.58280863,2020,2600m,18
195,14.58302062,2020,2600m,19
195,14.58244603,2020,2600m,20
195,14.58102494,2020,2600m,21
195,14.57870667,2020,2600m,22
195,14.5754463,2020,2600m,23
196,14.48955275,2020,2600m,12
196,14.4897283,2020,2600m,13
196,14.49184939,2020,2600m,14
196,14.49564177,2020,2600m,15
196,14.50075062,2020,2600m,16
196,14.5067864,2020,2600m,17
196,14.51336159,2020,2600m,18
196,14.52011707,2020,2600m,19
196,14.52673484,2020,2600m,20
196,14.5329421,2020,2600m,21
196,14.53851152,2020,2600m,22
196,14.5432573,2020,2600m,23
197,14.54631853,2020,2600m,12
197,14.55023447,2020,2600m,13
197,14.55527429,2020,2600m,14
197,14.5612305,2020,2600m,15
197,14.56786128,2020,2600m,16
197,14.57491695,2020,2600m,17
197,14.58215865,2020,2600m,18
197,14.58936916,2020,2600m,19
197,14.59635728,2020,2600m,20
197,14.60295995,2020,2600m,21
197,14.60904252,2020,2600m,22
197,14.61449632,2020,2600m,23
198,14.64542307,2020,2600m,12
198,14.65446465,2020,2600m,13
198,14.66565442,2020,2600m,14
198,14.67869417,2020,2600m,15
198,14.6931681,2020,2600m,16
198,14.70860327,2020,2600m,17
198,14.72451937,2020,2600m,18
198,14.74046355,2020,2600m,19
198,14.75602955,2020,2600m,20
198,14.77086688,2020,2600m,21
198,14.78468461,2020,2600m,22
198,14.7972501,2020,2600m,23
199,14.87199882,2020,2600m,12
199,14.88431413,2020,2600m,13
199,14.89919968,2020,2600m,14
199,14.91629723,2020,2600m,15
199,14.93513736,2020,2600m,16
199,14.95521201,2020,2600m,17
199,14.9760237,2020,2600m,18
199,14.99711458,2020,2600m,19
199,15.01808309,2020,2600m,20
199,15.03857176,2020,2600m,21
199,15.05827883,2020,2600m,22
199,15.07695048,2020,2600m,23
200,15.22254722,2020,2600m,12
200,15.23496062,2020,2600m,13
200,15.24843585,2020,2600m,14
200,15.26274476,2020,2600m,15
200,15.27755957,2020,2600m,16
200,15.29248842,2020,2600m,17
200,15.30711806,2020,2600m,18
200,15.32103406,2020,2600m,19
200,15.33385956,2020,2600m,20
200,15.34526637,2020,2600m,21
200,15.35496902,2020,2600m,22
200,15.36274712,2020,2600m,23
201,15.3332606,2020,2600m,12
201,15.33610864,2020,2600m,13
201,15.34092879,2020,2600m,14
201,15.34732673,2020,2600m,15
201,15.35484713,2020,2600m,16
201,15.36302203,2020,2600m,17
201,15.37140225,2020,2600m,18
201,15.37957891,2020,2600m,19
201,15.38719674,2020,2600m,20
201,15.39395936,2020,2600m,21
201,15.39962858,2020,2600m,22
201,15.40401951,2020,2600m,23
202,15.35905082,2020,2600m,12
